"Pesticide","SES_Variable","SES_P_value","Significant","N","N_SC","N_Time","Filters"
"XFLUDIOXONIL","Education.index",0.752658215947186,FALSE,153,13,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUDIOXONIL","Income",0.333909994364053,FALSE,153,13,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUDIOXONIL","home_value",0.504526971058887,FALSE,153,13,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUDIOXONIL","rent",0.366520749733236,FALSE,153,13,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUDIOXONIL","Poverty_150",0.829574297950009,FALSE,153,13,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUDIOXONIL","Unemployed",0.93745127928782,FALSE,153,13,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFLUDIOXONIL","Working_class",0.65813345692298,FALSE,153,13,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKAOLINCLAY","Education.index",0.27850201247294,FALSE,148,12,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKAOLINCLAY","Income",0.93238787172725,FALSE,148,12,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKAOLINCLAY","home_value",0.603404578331995,FALSE,148,12,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKAOLINCLAY","rent",0.922280227661873,FALSE,148,12,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKAOLINCLAY","Poverty_150",0.482614700957162,FALSE,148,12,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKAOLINCLAY","Unemployed",0.0957896354717146,FALSE,148,12,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKAOLINCLAY","Working_class",0.382650442004072,FALSE,148,12,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKRESOXIMMETHYL","Education.index",0.695422007946639,FALSE,284,22,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKRESOXIMMETHYL","Income",0.314683911412606,FALSE,284,22,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKRESOXIMMETHYL","home_value",0.709678826166074,FALSE,284,22,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKRESOXIMMETHYL","rent",0.747163864174028,FALSE,284,22,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XKRESOXIMMETHYL","Poverty_150",0.0147609850918861,TRUE,284,22,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
